Status	Sample Name	Sample Type	Size Standard	Analysis Method	SQI	Offscale	Quality	UD1	UD2	UD3	Dye/Sample Peak	Sample File Name	Size	Height	Area in Point	Area in BP	Data Point	Begin Point	Begin BP	End Point	End BP	Width in Point	Width in BP	User Comments	User Edit
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 1"	V059_1-2.fsa	14.6667	74	954	105	1045	1037	13.7778	1058	16.1111	8	0.95		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 2"	V059_1-2.fsa	18.8889	92	539	59	1083	1076	18.1111	1089	19.5556	5	0.6529		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 3"	V059_1-2.fsa	20.1111	71	574	63	1094	1089	19.5556	1106	21.4444	8	0.9325		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 4"	V059_1-2.fsa	26.1111	86	874	97	1148	1132	24.3333	1161	27.5556	7	0.8519		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 5"	V059_1-2.fsa	29.8889	50	798	88	1182	1161	27.5556	1202	32.1111	18	2.0504		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 6"	V059_1-2.fsa	53.1228	78	420	40	1395	1388	52.443	1403	53.8974	5	0.4996		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 7"	V059_1-2.fsa	57.1638	60	514	49	1437	1425	56.0157	1444	57.8312	10	0.9829		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 8"	V059_1-2.fsa	58.5919	121	777	73	1452	1444	57.8312	1467	60.0124	4	0.469		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 9"	V059_1-2.fsa	80.4458	78	1438	139	1686	1662	78.1118	1709	82.6825	15	1.5463		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 10"	V059_1-2.fsa	172.2378	62	315	29	2650	2642	171.48	2657	172.9009	5	0.4744		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 11"	V059_1-2.fsa	174.1319	210	1262	119	2670	2662	173.3744	2679	174.9839	5	0.5037		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 12"	V059_1-2.fsa	185.7621	77	342	32	2793	2787	185.1955	2799	186.3286	4	0.4308		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 13"	V059_1-2.fsa	193.2162	105	586	55	2872	2865	192.5562	2879	193.8762	4	0.4508		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 14"	V059_1-2.fsa	200.0	13876	48209	4496	2944	2937	199.3409	2950	200.5535	3	0.3086		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 15"	V059_1-2.fsa	202.3034	1297	14613	1344	2969	2962	201.6592	2978	203.1309	9	0.8378		
Analyzed	V059_1-2	Sample	GS500LIZ	Sizing Default - PP	false	Check	Pass				"B, 16"	V059_1-2.fsa	203.5901	235	805	73	2983	2978	203.1309	2990	204.2327	2	0.2676		
